Bat species,Bat family,Continent,Country,Reference,Link,,,,,,,,,,,,,,,,,,,,,
Micropteropus pusillus,Pteropodidae,Africa,"Democratic Republic of the Congo, Republic of the Congo",Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971,https://doi.org/10.1371/journal.pone.0236971,,,,,,,,,,,,,,,,,,,,,
Triaenops afer,Rhinonycteridae,Africa,"Democratic Republic of the Congo, Republic of the Congo",Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971,https://doi.org/10.1371/journal.pone.0236971,,,,,,,,,,,,,,,,,,,,,
Triaenops persicus,Rhinonycteridae,Africa,"Democratic Republic of the Congo, Republic of the Congo",Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971,https://doi.org/10.1371/journal.pone.0236971,,,,,,,,,,,,,,,,,,,,,
Scotophilus dinganii,Vespertilionidae,Africa,"Democratic Republic of the Congo, Republic of the Congo",Kumakamba 2021 PLoS ONE https://doi.org/10.1371/journal.pone.0236971,https://doi.org/10.1371/journal.pone.0236971,,,,,,,,,,,,,,,,,,,,,
Hipposideros larvatus,Hipposideridae,Asia,"Laos, Cambodia",Lacroix 2017 IGE https://doi.org/10.1016/j.meegid.2016.11.029,https://doi.org/10.1016/j.meegid.2016.11.029,,,,,,,,,,,,,,,,,,,,,
Cynopterus sphinx,Pteropodidae,Asia,"Laos, Cambodia",Lacroix 2017 IGE https://doi.org/10.1016/j.meegid.2016.11.029,https://doi.org/10.1016/j.meegid.2016.11.029,,,,,,,,,,,,,,,,,,,,,
Eonycteris spelaea,Pteropodidae,Asia,"Laos, Cambodia",Lacroix 2017 IGE https://doi.org/10.1016/j.meegid.2016.11.029,https://doi.org/10.1016/j.meegid.2016.11.029,,,,,,,,,,,,,,,,,,,,,
Megaerops niphanae,Pteropodidae,Asia,"Laos, Cambodia",Lacroix 2017 IGE https://doi.org/10.1016/j.meegid.2016.11.029,https://doi.org/10.1016/j.meegid.2016.11.029,,,,,,,,,,,,,,,,,,,,,
Rousettus amplexicaudatus,Pteropodidae,Asia,"Laos, Cambodia",Lacroix 2017 IGE https://doi.org/10.1016/j.meegid.2016.11.029,https://doi.org/10.1016/j.meegid.2016.11.029,,,,,,,,,,,,,,,,,,,,,
Rousettus leschenaultii,Pteropodidae,Asia,"Laos, Cambodia",Lacroix 2017 IGE https://doi.org/10.1016/j.meegid.2016.11.029,https://doi.org/10.1016/j.meegid.2016.11.029,,,,,,,,,,,,,,,,,,,,,
Rhinolophus shameli,Rhinolophidae,Asia,"Laos, Cambodia",Lacroix 2017 IGE https://doi.org/10.1016/j.meegid.2016.11.029,https://doi.org/10.1016/j.meegid.2016.11.029,,,,,,,,,,,,,,,,,,,,,
Myotis horsfieldii,Vespertilionidae,Asia,"Laos, Cambodia",Lacroix 2017 IGE https://doi.org/10.1016/j.meegid.2016.11.029,https://doi.org/10.1016/j.meegid.2016.11.029,,,,,,,,,,,,,,,,,,,,,
Pipistrellus coromandra,Vespertilionidae,Asia,"Laos, Cambodia",Lacroix 2017 IGE https://doi.org/10.1016/j.meegid.2016.11.029,https://doi.org/10.1016/j.meegid.2016.11.029,,,,,,,,,,,,,,,,,,,,,
Scotophilus kuhlii,Vespertilionidae,Asia,"Laos, Cambodia",Lacroix 2017 IGE https://doi.org/10.1016/j.meegid.2016.11.029,https://doi.org/10.1016/j.meegid.2016.11.029,,,,,,,,,,,,,,,,,,,,,
Hipposideros ruber,Hipposideridae,Africa,Guinea,Lacroix 2020 Viruses http://dx.doi.org/10.3390/v12080855,http://dx.doi.org/10.3390/v12080855,,,,,,,,,,,,,,,,,,,,,
Nycteris macrotis,Nycteridae,Africa,Guinea,Lacroix 2020 Viruses http://dx.doi.org/10.3390/v12080855,http://dx.doi.org/10.3390/v12080855,,,,,,,,,,,,,,,,,,,,,
Eidolon helvum,Pteropodidae,Africa,Guinea,Lacroix 2020 Viruses http://dx.doi.org/10.3390/v12080855,http://dx.doi.org/10.3390/v12080855,,,,,,,,,,,,,,,,,,,,,
Epomophorus gambianus,Pteropodidae,Africa,Guinea,Lacroix 2020 Viruses http://dx.doi.org/10.3390/v12080855,http://dx.doi.org/10.3390/v12080855,,,,,,,,,,,,,,,,,,,,,
Lissonycteris angolensis,Pteropodidae,Africa,Guinea,Lacroix 2020 Viruses http://dx.doi.org/10.3390/v12080855,http://dx.doi.org/10.3390/v12080855,,,,,,,,,,,,,,,,,,,,,
Nanonycteris veldkampii,Pteropodidae,Africa,Guinea,Lacroix 2020 Viruses http://dx.doi.org/10.3390/v12080855,http://dx.doi.org/10.3390/v12080855,,,,,,,,,,,,,,,,,,,,,
Rousettus aegyptiacus,Pteropodidae,Africa,Guinea,Lacroix 2020 Viruses http://dx.doi.org/10.3390/v12080855,http://dx.doi.org/10.3390/v12080855,,,,,,,,,,,,,,,,,,,,,
Rhinolophus darlingi,Rhinolophidae,Africa,Guinea,Lacroix 2020 Viruses http://dx.doi.org/10.3390/v12080855,http://dx.doi.org/10.3390/v12080855,,,,,,,,,,,,,,,,,,,,,
Aselliscus stoliczkanus,Hipposideridae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Hipposideros armiger,Hipposideridae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Hipposideros pomona,Hipposideridae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Hipposideros pratti,Hipposideridae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Miniopterus fuscus,Miniopteridae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Miniopterus pusillus,Miniopteridae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Miniopterus schreibersii,Miniopteridae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Cynopterus sphinx,Pteropodidae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Eonycteris spelaea,Pteropodidae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Rhinolophus affinis,Rhinolophidae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Rhinolophus ferrumequinum,Rhinolophidae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Rhinolophus macrotis,Rhinolophidae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Rhinolophus pusillus,Rhinolophidae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Rhinolophus sinicus,Rhinolophidae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Ia io,Vespertilionidae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Myotis chinensis,Vespertilionidae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Myotis horsfieldii,Vespertilionidae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Myotis ricketti,Vespertilionidae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Pipistrellus abramus,Vespertilionidae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Scotophilus kuhlii,Vespertilionidae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Tylonycteris pachypus,Vespertilionidae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Vespertilio sinensis,Vespertilionidae,Asia,China,Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33,https://www.nature.com/articles/s41467-020-17687-33,,,,,,,,,,,,,,,,,,,,,
Rhinolophus sinicus,Rhinolophidae,Asia,China,Lau 2005 PNAS https://doi.org/10.1073/pnas.0506735102,https://doi.org/10.1073/pnas.0506735102,,,,,,,,,,,,,,,,,,,,,
Rhinolophus sinicus,Rhinolophidae,Asia,China,Lau 2007 Virology https://doi.org/10.1016/j.virol.2007.06.009,https://doi.org/10.1016/j.virol.2007.06.009,,,,,,,,,,,,,,,,,,,,,
Rousettus leschenaultii,Pteropodidae,Asia,China,Lau 2010 Journal of Virology https://doi.org/10.1128/JVI.01121-10,https://doi.org/10.1128/JVI.01121-10,,,,,,,,,,,,,,,,,,,,,
Rhinolophus sinicus,Rhinolophidae,Asia,China,Lau 2010 Journal of Virology https://doi.org/10.1128/JVI.02219-09,https://doi.org/10.1128/JVI.02219-09,,,,,,,,,,,,,,,,,,,,,
Hipposideros pomona,Hipposideridae,Asia,China,Lau 2012 Journal of Virology https://doi.org/10.1128/JVI.01305-12,https://doi.org/10.1128/JVI.01305-12,,,,,,,,,,,,,,,,,,,,,
Rousettus leschenaultii,Pteropodidae,Asia,China,Lau 2012 Journal of Virology https://doi.org/10.1128/JVI.01305-12,https://doi.org/10.1128/JVI.01305-12,,,,,,,,,,,,,,,,,,,,,
Pipistrellus abramus,Vespertilionidae,Asia,China,Lau 2013 J Virol https://doi.org/10.1128/JVI.01055-13,https://doi.org/10.1128/JVI.01055-13,,,,,,,,,,,,,,,,,,,,,
Tylonycteris pachypus,Vespertilionidae,Asia,China,Lau 2013 J Virol https://doi.org/10.1128/JVI.01055-13,https://doi.org/10.1128/JVI.01055-13,,,,,,,,,,,,,,,,,,,,,
Hipposideros pomona,Hipposideridae,Asia,China,Lau 2015 Journal of Virology https://doi.org/10.1128/JVI.01048-15,https://doi.org/10.1128/JVI.01048-15,,,,,,,,,,,,,,,,,,,,,
Rousettus leschenaultii,Pteropodidae,Asia,China,Lau 2015 Journal of Virology https://doi.org/10.1128/JVI.01048-15,https://doi.org/10.1128/JVI.01048-15,,,,,,,,,,,,,,,,,,,,,
Rhinolophus ferrumequinum,Rhinolophidae,Asia,China,Lau 2015 Journal of Virology https://doi.org/10.1128/JVI.01048-15,https://doi.org/10.1128/JVI.01048-15,,,,,,,,,,,,,,,,,,,,,
Rhinolophus stheno,Rhinolophidae,Asia,China,Lau 2015 Journal of Virology https://doi.org/10.1128/JVI.01048-15,https://doi.org/10.1128/JVI.01048-15,,,,,,,,,,,,,,,,,,,,,
Myotis daubentonii,Vespertilionidae,Asia,China,Lau 2015 Journal of Virology https://doi.org/10.1128/JVI.01048-15,https://doi.org/10.1128/JVI.01048-15,,,,,,,,,,,,,,,,,,,,,
Rhinolophus sinicus,Rhinolophidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018,https://doi.org/10.1093/infdis/jiy018,,,,,,,,,,,,,,,,,,,,,
Hypsugo pulveratus,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018,https://doi.org/10.1093/infdis/jiy018,,,,,,,,,,,,,,,,,,,,,
Pipistrellus abramus,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018,https://doi.org/10.1093/infdis/jiy018,,,,,,,,,,,,,,,,,,,,,
Tylonycteris pachypus,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018,https://doi.org/10.1093/infdis/jiy018,,,,,,,,,,,,,,,,,,,,,
Tylonycteris robustula,Vespertilionidae,Asia,China,Lau 2018 JID https://doi.org/10.1093/infdis/jiy018,https://doi.org/10.1093/infdis/jiy018,,,,,,,,,,,,,,,,,,,,,
Rousettus leschenaultii,Pteropodidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm,https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm,,,,,,,,,,,,,,,,,,,,,
Rhinolophus ferrumequinum,Rhinolophidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm,https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm,,,,,,,,,,,,,,,,,,,,,
Rhinolophus sinicus,Rhinolophidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm,https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm,,,,,,,,,,,,,,,,,,,,,
Hypsugo pulveratus,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm,https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm,,,,,,,,,,,,,,,,,,,,,
Pipistrellus abramus,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm,https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm,,,,,,,,,,,,,,,,,,,,,
Tylonycteris pachypus,Vespertilionidae,Asia,China,Lau 2021 Hong Kong Medical Journal https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm,https://www.hkmj.org/abstracts/v27 Suppl 2n3/23.htm,,,,,,,,,,,,,,,,,,,,,
Tylonycteris pachypus,Vespertilionidae,Asia,China,Lau 2021 Nature Communications https://doi.org/10.1038/s41467-020-20458-9,https://doi.org/10.1038/s41467-020-20458-9,,,,,,,,,,,,,,,,,,,,,
Eptesicus serotinus,Vespertilionidae,Europe,Denmark,Lazov 2018 Viruses https://doi.org/10.3390/v10090486,https://doi.org/10.3390/v10090486,,,,,,,,,,,,,,,,,,,,,
Myotis dasycneme,Vespertilionidae,Europe,Denmark,Lazov 2018 Viruses https://doi.org/10.3390/v10090486,https://doi.org/10.3390/v10090486,,,,,,,,,,,,,,,,,,,,,
Myotis daubentonii,Vespertilionidae,Europe,Denmark,Lazov 2018 Viruses https://doi.org/10.3390/v10090486,https://doi.org/10.3390/v10090486,,,,,,,,,,,,,,,,,,,,,
Myotis nattereri,Vespertilionidae,Europe,Denmark,Lazov 2018 Viruses https://doi.org/10.3390/v10090486,https://doi.org/10.3390/v10090486,,,,,,,,,,,,,,,,,,,,,
Pipistrellus pygmaeus,Vespertilionidae,Europe,Denmark,Lazov 2018 Viruses https://doi.org/10.3390/v10090486,https://doi.org/10.3390/v10090486,,,,,,,,,,,,,,,,,,,,,
Myotis dasycneme,Vespertilionidae,Europe,Denmark,Lazov 2021 Viruses https://doi.org/10.3390/v13061073,https://doi.org/10.3390/v13061073,,,,,,,,,,,,,,,,,,,,,
Myotis daubentonii,Vespertilionidae,Europe,Denmark,Lazov 2021 Viruses https://doi.org/10.3390/v13061073,https://doi.org/10.3390/v13061073,,,,,,,,,,,,,,,,,,,,,
Pipistrellus pygmaeus,Vespertilionidae,Europe,Denmark,Lazov 2021 Viruses https://doi.org/10.3390/v13061073,https://doi.org/10.3390/v13061073,,,,,,,,,,,,,,,,,,,,,
Tadarida teniotis,Molossidae,Europe,Italy,Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8,https://doi.org/10.1007/s11262-018-1614-8,,,,,,,,,,,,,,,,,,,,,
Rhinolophus ferrumequinum,Rhinolophidae,Europe,Italy,Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8,https://doi.org/10.1007/s11262-018-1614-8,,,,,,,,,,,,,,,,,,,,,
Plecotus auritus,Vespertilionidae,Europe,Italy,Lecis 2018 Virus Genes https://doi.org/10.1007/s11262-018-1614-8,https://doi.org/10.1007/s11262-018-1614-8,,,,,,,,,,,,,,,,,,,,,
Rhinolophus ferrumequinum,Rhinolophidae,Asia,South Korea,Lee 2017 Microbial Ecology https://doi.org/10.1007/s00248-017-1033-8,https://doi.org/10.1007/s00248-017-1033-8,,,,,,,,,,,,,,,,,,,,,
Eptesicus serotinus,Vespertilionidae,Asia,South Korea,Lee 2017 Microbial Ecology https://doi.org/10.1007/s00248-017-1033-8,https://doi.org/10.1007/s00248-017-1033-8,,,,,,,,,,,,,,,,,,,,,
Pipistrellus abramus,Vespertilionidae,Asia,South Korea,Lee 2017 Microbial Ecology https://doi.org/10.1007/s00248-017-1033-8,https://doi.org/10.1007/s00248-017-1033-8,,,,,,,,,,,,,,,,,,,,,
Vespertilio sinensis,Vespertilionidae,Asia,South Korea,Lee 2017 Microbial Ecology https://doi.org/10.1007/s00248-017-1033-8,https://doi.org/10.1007/s00248-017-1033-8,,,,,,,,,,,,,,,,,,,,,
Miniopterus fuliginosus,Miniopteridae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324,https://doi.org/10.1111/tbed.14324,,,,,,,,,,,,,,,,,,,,,
Miniopterus schreibersii,Miniopteridae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324,https://doi.org/10.1111/tbed.14324,,,,,,,,,,,,,,,,,,,,,
Rhinolophus ferrumequinum,Rhinolophidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324,https://doi.org/10.1111/tbed.14324,,,,,,,,,,,,,,,,,,,,,
Eptesicus serotinus,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324,https://doi.org/10.1111/tbed.14324,,,,,,,,,,,,,,,,,,,,,
Hypsugo alaschanicus,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324,https://doi.org/10.1111/tbed.14324,,,,,,,,,,,,,,,,,,,,,
Myotis aurascens,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324,https://doi.org/10.1111/tbed.14324,,,,,,,,,,,,,,,,,,,,,
Myotis ikonnikovi,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324,https://doi.org/10.1111/tbed.14324,,,,,,,,,,,,,,,,,,,,,
Myotis macrodactylus,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324,https://doi.org/10.1111/tbed.14324,,,,,,,,,,,,,,,,,,,,,
Myotis petax,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324,https://doi.org/10.1111/tbed.14324,,,,,,,,,,,,,,,,,,,,,
Pipistrellus abramus,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324,https://doi.org/10.1111/tbed.14324,,,,,,,,,,,,,,,,,,,,,
Vespertilio sinensis,Vespertilionidae,Asia,South Korea,Lee 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14324,https://doi.org/10.1111/tbed.14324,,,,,,,,,,,,,,,,,,,,,
Rhinolophus hipposideros,Rhinolophidae,Europe,Italy,Lelli 2013 Viruses https://doi.org/10.3390/v5112679,https://doi.org/10.3390/v5112679,,,,,,,,,,,,,,,,,,,,,
Hypsugo savii,Vespertilionidae,Europe,Italy,Lelli 2013 Viruses https://doi.org/10.3390/v5112679,https://doi.org/10.3390/v5112679,,,,,,,,,,,,,,,,,,,,,
Nyctalus noctula,Vespertilionidae,Europe,Italy,Lelli 2013 Viruses https://doi.org/10.3390/v5112679,https://doi.org/10.3390/v5112679,,,,,,,,,,,,,,,,,,,,,
Pipistrellus kuhlii,Vespertilionidae,Europe,Italy,Lelli 2013 Viruses https://doi.org/10.3390/v5112679,https://doi.org/10.3390/v5112679,,,,,,,,,,,,,,,,,,,,,
Eidolon helvum,Pteropodidae,Africa,Nigeria,Leopardi 2016 Virus Genes https://doi.org/10.1007/s11262-016-1331-0,https://doi.org/10.1007/s11262-016-1331-0,,,,,,,,,,,,,,,,,,,,,
Pipistrellus kuhlii,Vespertilionidae,Europe,Italy,Leopardi 2020 Viruses https://doi.org/10.3390/v13010004,https://doi.org/10.3390/v13010004,,,,,,,,,,,,,,,,,,,,,
Rhinolophus ferrumequinum,Rhinolophidae,Asia,China,Li 2005 Science https://doi.org/10.1126/science.1118391,https://doi.org/10.1126/science.1118391,,,,,,,,,,,,,,,,,,,,,
Rhinolophus macrotis,Rhinolophidae,Asia,China,Li 2005 Science https://doi.org/10.1126/science.1118391,https://doi.org/10.1126/science.1118391,,,,,,,,,,,,,,,,,,,,,
Rhinolophus pearsonii,Rhinolophidae,Asia,China,Li 2005 Science https://doi.org/10.1126/science.1118391,https://doi.org/10.1126/science.1118391,,,,,,,,,,,,,,,,,,,,,
Rhinolophus pusillus,Rhinolophidae,Asia,China,Li 2021 bioRxiv https://doi.org/10.1101/2021.03.17.435823,https://doi.org/10.1101/2021.03.17.435823,,,,,,,,,,,,,,,,,,,,,
Corynorhinus townsendii,Vespertilionidae,America,USA,Li 2021 Journal of Virology https://doi.org/10.1128/JVI.01713-20,https://doi.org/10.1128/JVI.01713-20,,,,,,,,,,,,,,,,,,,,,
Miniopterus schreibersii,Miniopteridae,Asia,China,Liang 2017 Virologica Sinica https://doi.org/10.1007/s12250-017-3976-9,https://doi.org/10.1007/s12250-017-3976-9,,,,,,,,,,,,,,,,,,,,,
Rhinolophus pusillus,Rhinolophidae,Asia,China,Liang 2017 Virologica Sinica https://doi.org/10.1007/s12250-017-3976-9,https://doi.org/10.1007/s12250-017-3976-9,,,,,,,,,,,,,,,,,,,,,
Myotis ricketti,Vespertilionidae,Asia,China,Liang 2017 Virologica Sinica https://doi.org/10.1007/s12250-017-3976-9,https://doi.org/10.1007/s12250-017-3976-9,,,,,,,,,,,,,,,,,,,,,
Tylonycteris pachypus,Vespertilionidae,Asia,China,Liang 2017 Virologica Sinica https://doi.org/10.1007/s12250-017-3976-9,https://doi.org/10.1007/s12250-017-3976-9,,,,,,,,,,,,,,,,,,,,,
Cynopterus brachyotis,Pteropodidae,Asia,Singapore,Lim 2019 J Gen Virol https://doi.org/10.1099/jgv.0.001307,https://doi.org/10.1099/jgv.0.001307,,,,,,,,,,,,,,,,,,,,,
Molossus molossus,Molossidae,America,Brazil,Lima 2013 Virus Genes https://doi.org/10.1007/s11262-013-0899-x,https://doi.org/10.1007/s11262-013-0899-x,,,,,,,,,,,,,,,,,,,,,
Tadarida brasiliensis,Molossidae,America,Brazil,Lima 2013 Virus Genes https://doi.org/10.1007/s11262-013-0899-x,https://doi.org/10.1007/s11262-013-0899-x,,,,,,,,,,,,,,,,,,,,,
Hipposideros armiger,Hipposideridae,Asia,China,Lin 2017 Virology https://doi.org/10.1016/j.virol.2017.03.019,https://doi.org/10.1016/j.virol.2017.03.019,,,,,,,,,,,,,,,,,,,,,
Miniopterus schreibersii,Miniopteridae,Asia,China,Lin 2017 Virology https://doi.org/10.1016/j.virol.2017.03.019,https://doi.org/10.1016/j.virol.2017.03.019,,,,,,,,,,,,,,,,,,,,,
Rhinolophus ferrumequinum,Rhinolophidae,Asia,China,Lin 2017 Virology https://doi.org/10.1016/j.virol.2017.03.019,https://doi.org/10.1016/j.virol.2017.03.019,,,,,,,,,,,,,,,,,,,,,
Rhinolophus macrotis,Rhinolophidae,Asia,China,Lin 2017 Virology https://doi.org/10.1016/j.virol.2017.03.019,https://doi.org/10.1016/j.virol.2017.03.019,,,,,,,,,,,,,,,,,,,,,
Rhinolophus monoceros,Rhinolophidae,Asia,China,Lin 2017 Virology https://doi.org/10.1016/j.virol.2017.03.019,https://doi.org/10.1016/j.virol.2017.03.019,,,,,,,,,,,,,,,,,,,,,
Rhinolophus pearsonii,Rhinolophidae,Asia,China,Lin 2017 Virology https://doi.org/10.1016/j.virol.2017.03.019,https://doi.org/10.1016/j.virol.2017.03.019,,,,,,,,,,,,,,,,,,,,,
Rhinolophus pusillus,Rhinolophidae,Asia,China,Lin 2017 Virology https://doi.org/10.1016/j.virol.2017.03.019,https://doi.org/10.1016/j.virol.2017.03.019,,,,,,,,,,,,,,,,,,,,,
Rhinolophus rex,Rhinolophidae,Asia,China,Lin 2017 Virology https://doi.org/10.1016/j.virol.2017.03.019,https://doi.org/10.1016/j.virol.2017.03.019,,,,,,,,,,,,,,,,,,,,,
Rhinolophus sinicus,Rhinolophidae,Asia,China,Lin 2017 Virology https://doi.org/10.1016/j.virol.2017.03.019,https://doi.org/10.1016/j.virol.2017.03.019,,,,,,,,,,,,,,,,,,,,,
Rhinolophus thomasi,Rhinolophidae,Asia,China,Lin 2017 Virology https://doi.org/10.1016/j.virol.2017.03.019,https://doi.org/10.1016/j.virol.2017.03.019,,,,,,,,,,,,,,,,,,,,,
Murina leucogaster,Vespertilionidae,Asia,China,Lin 2017 Virology https://doi.org/10.1016/j.virol.2017.03.019,https://doi.org/10.1016/j.virol.2017.03.019,,,,,,,,,,,,,,,,,,,,,
Myotis davidii,Vespertilionidae,Asia,China,Lin 2017 Virology https://doi.org/10.1016/j.virol.2017.03.019,https://doi.org/10.1016/j.virol.2017.03.019,,,,,,,,,,,,,,,,,,,,,
Myotis siligorensis,Vespertilionidae,Asia,China,Lin 2017 Virology https://doi.org/10.1016/j.virol.2017.03.019,https://doi.org/10.1016/j.virol.2017.03.019,,,,,,,,,,,,,,,,,,,,,
Miniopterus fuliginosus,Miniopteridae,Asia,South Korea,Lo 2020 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.13653,https://doi.org/10.1111/tbed.13653,,,,,,,,,,,,,,,,,,,,,
Miniopterus schreibersii,Miniopteridae,Asia,South Korea,Lo 2020 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.13653,https://doi.org/10.1111/tbed.13653,,,,,,,,,,,,,,,,,,,,,
Rhinolophus ferrumequinum,Rhinolophidae,Asia,South Korea,Lo 2020 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.13653,https://doi.org/10.1111/tbed.13653,,,,,,,,,,,,,,,,,,,,,
