Bat species,Number of samples,Bat family,Continent,Country,Reference
Miniopterus australis,6,Miniopteridae,Asia,Malaysia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Miniopterus inflatus,338,Miniopteridae,Africa,"Cameroon, Gabon, Republic of Congo","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Miniopterus inflatus,571,Miniopteridae,Africa,Liberia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Miniopterus maghrebensis,1,Miniopteridae,Asia,Jordan,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Miniopterus magnater,113,Miniopteridae,Asia,Thailand,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Miniopterus medius,6,Miniopteridae,Asia,Malaysia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Miniopterus minor,1,Miniopteridae,Africa,Tanzania,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Miniopterus paululus,4,Miniopteridae,Asia,Malaysia,"Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Miniopterus pusillus,261,Miniopteridae,Asia,"China, Thailand","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Miniopterus schreibersii,623,Miniopteridae,"Africa, Asia","Cameroon, China, Jordan, Liberia, Malaysia, Thailand","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Chaerephon major,78,Molossidae,Africa,"Cameroon, Ivory Coast","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
Chaerephon plicatus,2844,Molossidae,Asia,"China, Thailand, Malaysia, Myanmar, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012, PREDICT database http://data.predict.global/"
